created_at;";data;;;;data_payload;;;;;vazao";
11/10/17;"02:52:36.021563-03;2017-10-11 02:52;02:52;12:08:00";"AM;8;0b00c5ac;00c5ac;50604;5;0,625;0,625"
11/10/17;"02:44:47.390292-03;2017-10-11 02:44;02:44;12:07:00";"AM;7;0b00c5a7;00c5a7;50599;2;0,285714286;0,285714286"
11/10/17;"02:37:12.585696-03;2017-10-11 02:37;02:37;12:07:00";"AM;7;0b00c5a5;00c5a5;50597;2;0,285714286;0,285714286"
11/10/17;"02:30:00.807017-03;2017-10-11 02:30;02:30;12:08:00";"AM;8;0b00c5a3;00c5a3;50595;2;0,25;0,25"
11/10/17;"02:22:21.930985-03;2017-10-11 02:22;02:22;12:08:00";"AM;8;0b00c5a1;00c5a1;50593;3;0,375;0,375"
11/10/17;"02:14:51.12926-03;2017-10-11 02:14;02:14;12:07:00";"AM;7;0b00c59e;00c59e;50590;2;0,285714286;0,285714286"
11/10/17;"02:07:13.394936-03;2017-10-11 02:07;02:07;12:15:00";"AM;15;0b00c59c;00c59c;50588;7;0,466666667;0,466666667"
11/10/17;"01:52:26.387266-03;2017-10-11 01:52;01:52;12:15:00";"AM;15;0b00c595;00c595;50581;5;0,333333333;0,333333333"
11/10/17;"01:37:13.041489-03;2017-10-11 01:37;01:37;12:08:00";"AM;8;0b00c590;00c590;50576;2;0,25;0,25"
11/10/17;"01:29:51.103966-03;2017-10-11 01:29;01:29;12:07:00";"AM;7;0b00c58e;00c58e;50574;2;0,285714286;0,285714286"
11/10/17;"01:22:21.651647-03;2017-10-11 01:22;01:22;12:07:00";"AM;7;0b00c58c;00c58c;50572;2;0,285714286;0,285714286"
11/10/17;"01:15:09.761098-03;2017-10-11 01:15;01:15;12:08:00";"AM;8;0b00c58a;00c58a;50570;3;0,375;0,375"
11/10/17;"01:07:12.520775-03;2017-10-11 01:07;01:07;12:08:00";"AM;8;0b00c587;00c587;50567;2;0,25;0,25"
11/10/17;"00:59:41.658264-03;2017-10-11 00:59;00:59;12:07:00";"AM;7;0b00c585;00c585;50565;2;0,285714286;0,285714286"
11/10/17;"00:52:12.194562-03;2017-10-11 00:52;00:52;12:07:00";"AM;7;0b00c583;00c583;50563;3;0,428571429;0,428571429"
11/10/17;"00:45:01.679135-03;2017-10-11 00:45;00:45;12:08:00";"AM;8;0b00c580;00c580;50560;3;0,375;0,375"
11/10/17;"00:37:15.868884-03;2017-10-11 00:37;00:37;12:07:00";"AM;7;0b00c57d;00c57d;50557;3;0,428571429;0,428571429"
11/10/17;"00:30:04.555405-03;2017-10-11 00:30;00:30;12:08:00";"AM;8;0b00c57a;00c57a;50554;4;0,5;0,5"
11/10/17;"00:22:32.469586-03;2017-10-11 00:22;00:22;12:08:00";"AM;8;0b00c576;00c576;50550;4;0,5;0,5"
11/10/17;"00:14:51.780895-03;2017-10-11 00:14;00:14;12:07:00";"AM;7;0b00c572;00c572;50546;3;0,428571429;0,428571429"
11/10/17;"00:07:24.331503-03;2017-10-11 00:07;00:07;12:07:00";"AM;7;0b00c56f;00c56f;50543;4;0,571428571;0,571428571"
11/10/17;"00:00:09.750162-03;2017-10-11 00:00;00:00;12:08:00";"AM;8;0b00c56b;00c56b;50539;4;0,5;0,5"
10/10/17;"23:52:46.347569-03;2017-10-10 23:52;23:52;12:15:00";"AM;15;0b00c567;00c567;50535;11;0,733333333;0,733333333"
10/10/17;"23:37:50.430804-03;2017-10-10 23:37;23:37;12:07:00";"AM;7;0b00c55c;00c55c;50524;7;1;1"
10/10/17;"23:30:09.699969-03;2017-10-10 23:30;23:30;12:08:00";"AM;8;0b00c555;00c555;50517;4;0,5;0,5"
10/10/17;"23:22:42.134069-03;2017-10-10 23:22;23:22;12:07:00";"AM;7;0b00c551;00c551;50513;5;0,714285714;0,714285714"
10/10/17;"23:15:18.835019-03;2017-10-10 23:15;23:15;12:23:00";"AM;23;0b00c54c;00c54c;50508;15;0,652173913;0,652173913"
10/10/17;"22:52:46.417797-03;2017-10-10 22:52;22:52;12:15:00";"AM;15;0b00c53d;00c53d;50493;9;0,6;0,6"
10/10/17;"22:37:59.349982-03;2017-10-10 22:37;22:37;12:07:00";"AM;7;0b00c534;00c534;50484;5;0,714285714;0,714285714"
10/10/17;"22:30:27.35952-03;2017-10-10 22:30;22:30;12:07:00";"AM;7;0b00c52f;00c52f;50479;5;0,714285714;0,714285714"
10/10/17;"22:23:16.931729-03;2017-10-10 22:23;22:23;12:15:00";"AM;15;0b00c52a;00c52a;50474;13;0,866666667;0,866666667"
10/10/17;"22:08:07.929803-03;2017-10-10 22:08;22:08;12:08:00";"AM;8;0b00c51d;00c51d;50461;4;0,5;0,5"
10/10/17;"22:00:35.935992-03;2017-10-10 22:00;22:00;12:07:00";"AM;7;0b00c519;00c519;50457;5;0,714285714;0,714285714"
10/10/17;"21:53:16.886212-03;2017-10-10 21:53;21:53;12:08:00";"AM;8;0b00c514;00c514;50452;9;1,125;1,125"
10/10/17;"21:45:49.007936-03;2017-10-10 21:45;21:45;12:07:00";"AM;7;0b00c50b;00c50b;50443;6;0,857142857;0,857142857"
10/10/17;"21:38:16.853932-03;2017-10-10 21:38;21:38;12:08:00";"AM;8;0b00c505;00c505;50437;6;0,75;0,75"
10/10/17;"21:30:40.544226-03;2017-10-10 21:30;21:30;12:15:00";"AM;15;0b00c4ff;00c4ff;50431;12;0,8;0,8"
